Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
Predicted tensor([0.3888, 0.5918]) Actual tensor([1., 0.])
Predicted tensor([-0.3073,  1.3024]) Actual tensor([0., 1.])
Predicted tensor([0.3960, 0.5882]) Actual tensor([0., 1.])
Predicted tensor([0.5811, 0.4042]) Actual tensor([0., 1.])
Predicted tensor([0.1127, 0.8958]) Actual tensor([0., 1.])
Predicted tensor([ 0.9661, -0.0026]) Actual tensor([1., 0.])
Predicted tensor([0.3475, 0.6328]) Actual tensor([1., 0.])
Predicted tensor([0.5617, 0.4203]) Actual tensor([1., 0.])
Predicted tensor([ 1.1369, -0.1584]) Actual tensor([1., 0.])
Predicted tensor([0.4914, 0.5119]) Actual tensor([1., 0.])
Predicted tensor([0.6804, 0.2849]) Actual tensor([1., 0.])
Predicted tensor([0.5220, 0.4617]) Actual tensor([1., 0.])
Predicted tensor([0.3129, 0.6934]) Actual tensor([1., 0.])
Predicted tensor([0.6491, 0.3571]) Actual tensor([1., 0.])
Predicted tensor([0.3305, 0.6588]) Actual tensor([0., 1.])
Predicted tensor([0.2744, 0.7100]) Actual tensor([0., 1.])
Predicted tensor([0.1622, 0.8362]) Actual tensor([0., 1.])
Predicted tensor([0.2096, 0.8132]) Actual tensor([0., 1.])
Predicted tensor([0.2649, 0.7413]) Actual tensor([0., 1.])
Predicted tensor([0.2056, 0.7917]) Actual tensor([0., 1.])
Predicted tensor([0.6789, 0.3439]) Actual tensor([0., 1.])
Predicted tensor([0.5138, 0.5032]) Actual tensor([1., 0.])
Predicted tensor([0.1333, 0.8695]) Actual tensor([0., 1.])
Predicted tensor([0.3929, 0.6090]) Actual tensor([1., 0.])
Predicted tensor([0.6971, 0.3322]) Actual tensor([1., 0.])
Predicted tensor([0.4188, 0.6308]) Actual tensor([1., 0.])
Predicted tensor([-0.0280,  1.0357]) Actual tensor([0., 1.])
Predicted tensor([0.4399, 0.6167]) Actual tensor([1., 0.])
Predicted tensor([0.5142, 0.5491]) Actual tensor([1., 0.])
Predicted tensor([0.2360, 0.7082]) Actual tensor([0., 1.])
Predicted tensor([0.6680, 0.3080]) Actual tensor([1., 0.])
Predicted tensor([0.4394, 0.5662]) Actual tensor([0., 1.])
Predicted tensor([0.2883, 0.7196]) Actual tensor([0., 1.])
Predicted tensor([0.0756, 0.9349]) Actual tensor([0., 1.])
Predicted tensor([0.0177, 0.9923]) Actual tensor([0., 1.])
Predicted tensor([0.4757, 0.5535]) Actual tensor([1., 0.])
Predicted tensor([0.4625, 0.5227]) Actual tensor([0., 1.])
Predicted tensor([0.2655, 0.8059]) Actual tensor([1., 0.])
Predicted tensor([ 1.0179, -0.0038]) Actual tensor([1., 0.])
Predicted tensor([0.2273, 0.7878]) Actual tensor([0., 1.])
Predicted tensor([0.0103, 0.9683]) Actual tensor([0., 1.])
Predicted tensor([0.3028, 0.6984]) Actual tensor([0., 1.])
Predicted tensor([0.7039, 0.3113]) Actual tensor([1., 0.])
Predicted tensor([0.5463, 0.4577]) Actual tensor([1., 0.])
Predicted tensor([0.7937, 0.1751]) Actual tensor([1., 0.])
Predicted tensor([0.4596, 0.5409]) Actual tensor([1., 0.])
Predicted tensor([0.2580, 0.7494]) Actual tensor([1., 0.])
Predicted tensor([0.4884, 0.5277]) Actual tensor([0., 1.])
Predicted tensor([0.4286, 0.5501]) Actual tensor([1., 0.])
Predicted tensor([0.3188, 0.6499]) Actual tensor([0., 1.])
Predicted tensor([0.2167, 0.7647]) Actual tensor([1., 0.])
Predicted tensor([0.5445, 0.4354]) Actual tensor([1., 0.])
Predicted tensor([0.7903, 0.2524]) Actual tensor([1., 0.])
Predicted tensor([0.6525, 0.3505]) Actual tensor([1., 0.])
Predicted tensor([0.1745, 0.8265]) Actual tensor([0., 1.])
Predicted tensor([0.2217, 0.7748]) Actual tensor([0., 1.])
Predicted tensor([0.3988, 0.5812]) Actual tensor([1., 0.])
Predicted tensor([0.3560, 0.6760]) Actual tensor([0., 1.])
Predicted tensor([0.3500, 0.6290]) Actual tensor([0., 1.])
Predicted tensor([ 1.0472, -0.0308]) Actual tensor([1., 0.])
Predicted tensor([0.8820, 0.1309]) Actual tensor([1., 0.])
Predicted tensor([0.7419, 0.2777]) Actual tensor([1., 0.])
Predicted tensor([ 1.0309, -0.0427]) Actual tensor([1., 0.])
Predicted tensor([0.5882, 0.3959]) Actual tensor([1., 0.])
Predicted tensor([0.9327, 0.0722]) Actual tensor([1., 0.])
Predicted tensor([0.1335, 0.9028]) Actual tensor([0., 1.])
Predicted tensor([0.3612, 0.6231]) Actual tensor([0., 1.])
Predicted tensor([0.1563, 0.7874]) Actual tensor([0., 1.])
Predicted tensor([0.3478, 0.6396]) Actual tensor([0., 1.])
Predicted tensor([0.2425, 0.7597]) Actual tensor([1., 0.])
Predicted tensor([0.2043, 0.7836]) Actual tensor([0., 1.])
Predicted tensor([0.6268, 0.3625]) Actual tensor([0., 1.])
Predicted tensor([0.8258, 0.1837]) Actual tensor([1., 0.])
Predicted tensor([0.3298, 0.6724]) Actual tensor([0., 1.])
Predicted tensor([0.2821, 0.7159]) Actual tensor([1., 0.])
Predicted tensor([0.5074, 0.5299]) Actual tensor([1., 0.])
Predicted tensor([0.0690, 0.9155]) Actual tensor([1., 0.])
Predicted tensor([0.6318, 0.3812]) Actual tensor([1., 0.])
Predicted tensor([0.4619, 0.5082]) Actual tensor([0., 1.])
Predicted tensor([-0.0616,  1.0655]) Actual tensor([0., 1.])
Predicted tensor([0.8789, 0.1044]) Actual tensor([1., 0.])
Predicted tensor([0.2374, 0.7511]) Actual tensor([0., 1.])
Predicted tensor([0.3523, 0.6246]) Actual tensor([0., 1.])
Predicted tensor([0.3097, 0.6959]) Actual tensor([0., 1.])
Predicted tensor([0.2835, 0.7233]) Actual tensor([0., 1.])
Predicted tensor([0.3740, 0.6113]) Actual tensor([1., 0.])
Predicted tensor([0.4639, 0.5460]) Actual tensor([0., 1.])
Predicted tensor([0.1512, 0.8339]) Actual tensor([0., 1.])
Predicted tensor([0.3894, 0.6261]) Actual tensor([1., 0.])
Predicted tensor([0.4196, 0.5384]) Actual tensor([1., 0.])
Predicted tensor([0.4940, 0.5195]) Actual tensor([0., 1.])
Predicted tensor([ 1.0839, -0.1016]) Actual tensor([1., 0.])
Predicted tensor([1.1650e-04, 1.0242e+00]) Actual tensor([0., 1.])
Predicted tensor([0.1475, 0.8087]) Actual tensor([0., 1.])
Predicted tensor([0.0024, 1.0068]) Actual tensor([0., 1.])
Predicted tensor([0.0407, 0.9630]) Actual tensor([0., 1.])
Predicted tensor([0.6611, 0.2987]) Actual tensor([1., 0.])
Predicted tensor([0.5629, 0.4586]) Actual tensor([0., 1.])
Predicted tensor([0.1016, 0.9185]) Actual tensor([0., 1.])
Predicted tensor([0.6414, 0.3542]) Actual tensor([0., 1.])
Predicted tensor([0.3599, 0.6515]) Actual tensor([1., 0.])
Predicted tensor([0.2862, 0.7009]) Actual tensor([1., 0.])
Predicted tensor([ 1.2718, -0.1893]) Actual tensor([1., 0.])
Predicted tensor([0.5113, 0.4867]) Actual tensor([1., 0.])
Predicted tensor([0.6449, 0.3640]) Actual tensor([1., 0.])
Predicted tensor([0.6740, 0.3311]) Actual tensor([1., 0.])
Predicted tensor([0.5458, 0.5038]) Actual tensor([1., 0.])
Predicted tensor([0.6154, 0.4130]) Actual tensor([0., 1.])
Predicted tensor([0.1160, 0.8707]) Actual tensor([0., 1.])
Predicted tensor([0.3101, 0.6999]) Actual tensor([0., 1.])
Predicted tensor([0.5502, 0.4659]) Actual tensor([1., 0.])
Predicted tensor([0.4856, 0.5307]) Actual tensor([1., 0.])
Predicted tensor([0.6187, 0.3595]) Actual tensor([0., 1.])
Predicted tensor([0.4709, 0.5399]) Actual tensor([0., 1.])
Predicted tensor([0.2057, 0.7895]) Actual tensor([0., 1.])
Predicted tensor([0.1621, 0.8237]) Actual tensor([0., 1.])
Predicted tensor([0.2544, 0.6969]) Actual tensor([1., 0.])
Predicted tensor([0.2343, 0.7668]) Actual tensor([0., 1.])
Predicted tensor([-0.1455,  1.1696]) Actual tensor([1., 0.])
Predicted tensor([0.4454, 0.5868]) Actual tensor([1., 0.])
Predicted tensor([0.7222, 0.3135]) Actual tensor([1., 0.])
Predicted tensor([0.2534, 0.7779]) Actual tensor([1., 0.])
Predicted tensor([0.3297, 0.6835]) Actual tensor([0., 1.])
Predicted tensor([0.4332, 0.5822]) Actual tensor([1., 0.])
Predicted tensor([0.3670, 0.6296]) Actual tensor([0., 1.])
Predicted tensor([0.3343, 0.6218]) Actual tensor([0., 1.])
Predicted tensor([0.1868, 0.8257]) Actual tensor([0., 1.])
Predicted tensor([0.3679, 0.6620]) Actual tensor([0., 1.])
Predicted tensor([0.3133, 0.6755]) Actual tensor([0., 1.])
Predicted tensor([0.2788, 0.7054]) Actual tensor([0., 1.])
Predicted tensor([ 0.9983, -0.0136]) Actual tensor([1., 0.])
Predicted tensor([0.2820, 0.6997]) Actual tensor([0., 1.])
Predicted tensor([0.2574, 0.7482]) Actual tensor([0., 1.])
Predicted tensor([0.3793, 0.6242]) Actual tensor([0., 1.])
Predicted tensor([0.3116, 0.6868]) Actual tensor([0., 1.])
Predicted tensor([ 1.0284, -0.0544]) Actual tensor([1., 0.])
Predicted tensor([0.6776, 0.3382]) Actual tensor([1., 0.])
Predicted tensor([0.1689, 0.8377]) Actual tensor([0., 1.])
Predicted tensor([0.6214, 0.3872]) Actual tensor([1., 0.])
Predicted tensor([-0.0865,  1.0912]) Actual tensor([0., 1.])
Predicted tensor([0.3165, 0.6539]) Actual tensor([0., 1.])
Predicted tensor([ 1.2391, -0.2137]) Actual tensor([1., 0.])
Predicted tensor([0.1669, 0.8162]) Actual tensor([0., 1.])
Predicted tensor([0.8170, 0.2073]) Actual tensor([1., 0.])
Predicted tensor([0.8796, 0.1147]) Actual tensor([1., 0.])
Predicted tensor([0.4538, 0.5145]) Actual tensor([0., 1.])
Predicted tensor([0.3223, 0.6738]) Actual tensor([0., 1.])
Predicted tensor([-0.2516,  1.3690]) Actual tensor([1., 0.])
Predicted tensor([0.3195, 0.7036]) Actual tensor([0., 1.])
Predicted tensor([1.0072e+00, 9.5356e-04]) Actual tensor([0., 1.])
Predicted tensor([0.0997, 0.8829]) Actual tensor([1., 0.])
Predicted tensor([0.6787, 0.2795]) Actual tensor([1., 0.])
Predicted tensor([0.2607, 0.7152]) Actual tensor([0., 1.])
Predicted tensor([ 1.0901, -0.1296]) Actual tensor([1., 0.])
Predicted tensor([0.8311, 0.1455]) Actual tensor([1., 0.])
Predicted tensor([0.3840, 0.5949]) Actual tensor([0., 1.])
Predicted tensor([0.6103, 0.3687]) Actual tensor([1., 0.])
Predicted tensor([0.1742, 0.8533]) Actual tensor([0., 1.])
Predicted tensor([0.8551, 0.1213]) Actual tensor([1., 0.])
Predicted tensor([ 0.9801, -0.0092]) Actual tensor([1., 0.])
Predicted tensor([0.2732, 0.7447]) Actual tensor([0., 1.])
Predicted tensor([0.0820, 0.9326]) Actual tensor([0., 1.])
Predicted tensor([0.1457, 0.8354]) Actual tensor([0., 1.])
Predicted tensor([-0.0452,  1.0865]) Actual tensor([0., 1.])
Predicted tensor([0.3473, 0.6210]) Actual tensor([0., 1.])
Predicted tensor([0.7212, 0.3427]) Actual tensor([1., 0.])
Predicted tensor([0.3015, 0.6894]) Actual tensor([0., 1.])
Predicted tensor([0.5970, 0.4487]) Actual tensor([1., 0.])
Predicted tensor([0.2484, 0.8309]) Actual tensor([0., 1.])
Predicted tensor([0.7190, 0.3358]) Actual tensor([1., 0.])
Predicted tensor([0.3372, 0.6607]) Actual tensor([0., 1.])
Predicted tensor([0.8623, 0.1536]) Actual tensor([1., 0.])
Predicted tensor([0.3499, 0.6304]) Actual tensor([0., 1.])
Predicted tensor([0.3583, 0.6136]) Actual tensor([0., 1.])
Total loss: tensor(172.6589)
Erred on:  b kodaiña s guadaña &

Erred on:  b bigira s adjetivo &

Erred on:  b brager s cetro &

Erred on:  b bazka s pasto &

Erred on:  b zerka s costumbre &

Erred on:  b trofeo s aduana &

Erred on:  b bike s dolor &

Erred on:  b loria s gloria &

Erred on:  b aingeru s escudero &

Erred on:  b matxorra s taravilla &

Erred on:  b zikuta s navarra &

Erred on:  b pagatu s margen &

Erred on:  b eleja s iglesia &

Erred on:  b ultraje s ultraje &

Erred on:  b garbantzu s salvar &

Erred on:  b karpeta s ofrenda &

Erred on:  b kapuz s oprobio &

Erred on:  b jipoi s jubón &

Erred on:  b pake s dado &

Erred on:  b pabilo s claro &

Erred on:  b ganbela s maula &

Erred on:  b gareta s zarpa &

Erred on:  b feble s débil &

Erred on:  b bezilla s arvejilla &

Erred on:  b tumulto s pentecostés &

Erred on:  b agilando s alambre &

Erred on:  b leinu s gusto &

Erred on:  b siluro s ábaco &

Erred on:  b enbite s sábila &

Erred on:  b kontsul s cónsul &

Erred on:  b etxatu s echar &

Erred on:  b subdiakono s duda &

Erred on:  b gutizia s dedal &

Erred on:  b abako s jarro &

Erred on:  b alabe s orador &

Erred on:  b nafilhar s zahorí &

Erred on:  b nausa s nausea &

Erred on:  b gabirai s gavilán &

Erred on:  b iko s higo &

Erred on:  b giadore s estribo &

Erred on:  b estutxe s flaco &

Erred on:  b pantza s tamaño &

Erred on:  b kastor s bastón &

Erred on:  b dute s té &

Erred on:  b berenotsu s cobre &

Erred on:  b subdiakono s colerina &

Erred on:  b anakardo s ejército &

Erred on:  b dibursa s puerta &

Erred on:  b dono s rmbudo &

Erred on:  b kontzilio s danza &

Erred on:  b jünpürü s enebro &

Erred on:  b dantza s ducado &

Erred on:  b abantzatu s taladro &

Erred on:  b opalo s cristiano &

Erred on:  b zaldu s daga &

Erred on:  b soslai s solo &

Erred on:  b erribete s ribete &

Erred on:  b abito s vanagloria &

Erred on:  b bortitz s fuerte &

Erred on:  b sobera s teja &

Erred on:  b trezeba s pesebre &

Erred on:  b erregela s orégano &

Erred on:  b fungo s alcohol &

Erred on:  b maiatz s fincar &

Erred on:  b marka s vanguardia &

Erred on:  b txarro s jarro &

Erred on:  b madarikatu s casto &

Erred on:  b sufritu s losa &

Erred on:  b futre s cilantro &

Erred on:  b detxema s diezmo &

Erred on:  b zelo s estrada &

Erred on:  b abarka s alaga &

Erred on:  b bapo s guapo &

Erred on:  b betelu s agudo &

Erred on:  b gambara s garrapata &

Erred on:  b dabantail s delantal &

Erred on:  b erretrato s aguja &

Erred on:  b adu s ánimo &

Erred on:  b erregu s reina &

Erred on:  b aide s teja &

Erred on:  b ipuro s enebro &

Erred on:  b balakatu s oler &

Erred on:  b agrabiatu s alquitrán &

Erred on:  b kaparrosa s casco &

Erred on:  b jenero s género &

Erred on:  b gubia s fatigar &

Erred on:  b debot s caballero &

Erred on:  b aiuta s hiena &

Erred on:  b fusil s corona &

Erred on:  b teitu s puerro &

Erred on:  b gurutze s figura &

Erred on:  b entterka s grifo &

Erred on:  b eria s cuchara &

Erred on:  b fieltro s marrajo &

Erred on:  b bilaun s abalorio &

Erred on:  b zuku s flaco &

Erred on:  b estañu s estéreo &

Erred on:  b bukatu s acabar &

Erred on:  b marguriol s capus &

Erred on:  b hondo s goma &

Erred on:  b garmu s vara &

Erred on:  b gerezi s dosis &

Erred on:  b adreilu s fiel &

Erred on:  b talo s paraíso &

Erred on:  b koba s cueva &

Erred on:  b eritu s herir &

Erred on:  b gabarra s natura &

Erred on:  b balent s manto &

Erred on:  b bultza s impulso &

Erred on:  b binagre s sacanabo &

Erred on:  b enganatu s engañar &

Erred on:  b zaurin s barra &

Erred on:  b estañu s elevado &

Erred on:  b mazela s círculo &

Erred on:  b mendu s juego &

Erred on:  b kürkürü s declarar &

Erred on:  b maiorana s bajado &

Erred on:  b mantal s delantal &

Erred on:  b ütis s trenza &

[[163  89]
 [ 30 225]]
F1: 0.7908611599297012
(array([0.84455959, 0.71656051]), array([0.6468254 , 0.88235294]), array([0.73258427, 0.79086116]), array([252, 255]))
/home/efleisig/.local/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Sequential. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/efleisig/.local/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Linear. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/efleisig/.local/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ReLU. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/efleisig/.local/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Dropout. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
252 255
193 314
388 507
Accuracy: 0.7652859960552268
